List,Card,Due,Label,Checklist
"Sprint 1 - 07/09-12/09","WEB-01 Auth + Onboarding",2026-09-09,DONE,"Login/logout BFF proxy HttpOnly cookie DONE 07/09 | Register + Preferences DONE 08/09 | Forgot-password DONE 80% 08/09 | Middleware silent-refresh 401 DONE 09/09"
"Sprint 1 - 07/09-12/09","WEB-02 Wardrobe",2026-09-12,DONE,"List/filter URL-state DONE 10/09 | Cloudinary signed DONE 11/09 | SSE realtime DONE FE 12/09 | Detail/Edit/Sell + Explore DONE 12/09"
"Sprint 1 - 07/09-12/09","MOB-01 Foundation Flutter",2026-09-10,DONE,"flutter create + pubspec DONE 07/09 | AppColors + Material3 + BeVietnamPro DONE 08/09 | GoRouter 5 tabs + guard DONE 10/09"
"Sprint 1 - 07/09-12/09","MOB-02 Auth Mobile",2026-09-12,DONE,"Login SecureStorage + Dio refresh DONE 10/09 | Register OTP + Preferences + Forgot DONE 11/09 | Profile DONE 12/09"
"Sprint 2 - 13/09-19/09","WEB-03 Outfits Studio",2026-09-14,DONE,"List DONE 13/09 | Canvas drag-drop DONE 13/09 | Detail + Delete DONE 14/09"
"Sprint 2 - 13/09-19/09","WEB-04 AI Stylist",2026-09-15,DONE,"SSE chat sessions/messages DONE 14/09 | Token REDIRECT_OUTFIT DONE 15/09"
"Sprint 2 - 13/09-19/09","WEB-05 Marketplace Commerce",2026-09-17,DONE,"Marketplace + Product + Search DONE UI 15/09 | Cart + Checkout DONE UI 16/09 | Purchases + Returns + Pricing DONE UI 16/09 | Billing vs Wallet gop DOING"
"Sprint 2 - 13/09-19/09","WEB-06 Community",2026-09-18,DONE,"Feed + CreatePost DONE 17/09 | Post detail like/comment/share DONE 18/09"
"Sprint 2 - 13/09-19/09","MOB-03 Wardrobe Mobile",2026-09-16,DONE,"SliverGrid + Filter DONE 14/09 | Camera + Cloudinary + SSE DONE 15/09 | Detail + Edit/Sell DONE 16/09"
"Sprint 2 - 13/09-19/09","MOB-04 Outfits + AI Mobile",2026-09-19,DONE,"OutfitsList + BottomSheet DONE 18/09 | Auto-redirect DONE 19/09 | AI chat + quota DONE 19/09"
"Sprint 3 - 20/09-26/09","WEB-07 Brand Portal Loyalty Benefits",2026-09-21,DOING,"Dashboard/orders/products DONE 20/09 | task02 breaking DONE code 20/09 | task.md Benefit tach DONE 90% 21/09 | task01 Loyalty 12 man DOING 21/09 | Sample Lab BACKLOG"
"Sprint 3 - 20/09-26/09","WEB-08 Admin",2026-09-22,DOING,"Dashboard KPI/AI/PayOS DONE | Users/Brands/Category/Wardrobe/Moderation/Trends DONE | Thieu plans/transactions/AI pricing/audit BACKLOG"
"Sprint 3 - 20/09-26/09","MOB-05 Marketplace Cart Community Mobile",2026-09-24,DONE,"Marketplace + Product haptic DONE 22/09 | Cart + WebView + Orders + Wallet DONE UI 23/09 | Community DONE 23/09"
"Sprint 3 - 20/09-26/09","WEB-09 Ghost Closet + UI System",2026-09-26,DOING,"Ghost toggle + Impact mock DOING 23/09 | Sample report BACKLOG 24/09 | Rounded refactor DOING 25-26/09 | billing/wallet gop + cleanup DOING 26/09"
"Sprint 3 - 20/09-26/09","QA Test",2026-09-26,DOING,"Jest hien co DONE | Thieu loyalty/community/auth BACKLOG | Patrol 4/4 + manual DOING 25/09"
